Tepiter north=Stelle south=Neptune-Hecomri east=Drano west=Hephaesbar
Aratius north=Noeli-Ara south=Denibi-Rionachea east=Doneglatius west=Pusphoonbus
Drephoon north=Potel-Aphro south=Cosmari-Miocastal east=Toszeusaes west=Hecpho
Phitau north=Tunemet south=Neptune east=Osimio-Lambdusto west=Dermi-Lethcury
Tahec north=Phiresen south=Arapa east=Soli-Britoidpi west=Lethsaihein
Ronlickis north=Aldi-Valles south=Yalebmar east=Epsimio-Deni west=Oblity
Andomi north=Diaando south=Hypho east=Bari-Nisas west=Lambdusto-Corida
Segprome north=Curyxi south=Bari-Cogvalles east=Castal west=Helidav
Caldomi-Licthe north=Osimio-Busen south=Lalebco east=Vianheinlein west=Karapi
Vanvon north=Promeo south=Phobos east=Vearva west=Thilar
Kismedel north=Chronostius south=Xeli east=Sigthosheph west=Marida-Osimio
Cogkeplar north=Saitelmia south=Peszathu east=Pustius west=Aldi-Achraco
Amdige north=Biru-Phani south=Piter-Castal east=Prilius west=Delta-Marstau
Zeuspro north=Thelethbo south=Pluto east=Sonxar west=Rupistdre
Pribri north=Zeussegvian south=Soli-Neptuneri east=Vanxi west=Noelical
Taltoiddra north=Sepraas south=Metne-Uraach east=Laslar west=Piterra-Cosma
Zeusdraxe north=Celles-Telmia south=Vallesti west=Osoli-Melamb
Lepcon north=Rida south=Nomi-Giburet east=Epsimio-Epsimio west=Cygna
Catdunemars north=Zathura south=Cogres east=Scherpiter west=Magsig
Dypo north=Jupiter-Dusto south=Stellera-Cori east=Tanisgi west=Mioura
Vusjupi north=Phani south=Vardo east=Piaoxicor west=Gias
Gidiames north=Goneli south=Leinlepvar east=Nulacor west=Cori-Tosqua
Neptuneep north=Delta-Marstau south=Sonvonce east=Piter-Castal west=Tita
Lepve north=Miolimar south=Terra-Danper east=Lera-Kisobli west=Siglar
Heinleinmar north=Cicazeus south=Soli east=Aura-Kismiacos west=Miaronbri
Rondi-Curycii north=Leragi south=Cosmari-Domi east=Vansai west=Theas
Taurida-Liusxar north=Telmiaaes south=Castaltax east=Cogboslic west=Ciiob
Eonrida north=Cardani south=Xarplu east=Domini-Thisaturn west=Puloxivi
Hecdige north=Licach south=Thuraoso east=Domini-Castal west=Cosmari-Cogdypa
Minibi north=Britoidlar south=Omrida-Britoid east=Gotal west=Lanetju
Dislicem north=Nadosli south=Pistvusxi east=Corida-Tabi west=Ditecares
Benzar north=Caldo-Domi south=Liussepop east=Dunedavori west=Cala
Heinleinsep south=Taxo east=Arva-Nostal west=Cronphani
Danzeus north=Miodavju south=Davomri east=Brentaso west=Nomi-Nimbusnig
Jupi north=Libri south=Ciixar east=Corida-Neptunepul west=Piterra-Mari
Metne-Netthu north=Ryaura south=Boslic-Tunepo east=Cardani-Denibi west=Lascen
Mianet north=Biabora south=Nibiru-Xardrea east=Turnpe west=Keplarob
Oxivian north=Lepchea south=Ura east=Vonra west=Ando-Gieon
Lioxiry north=Busdusto south=Stellera-Vianbar east=Brenta-Ciimercu west=Boslicbar
Pluto-Mopiter north=Shporio-Mesnomi south=Metunenep east=Cosmari-Dyloxma west=Kara-Lury
Senmetne north=Nosthura south=Senbiru east=Osimio-Mini west=Bora-Nislambdus
Ceti-Dermini north=Brentaro south=Shporio-Pagoa east=Nomini-Piter west=Aphro-Andomi
Biru-Branscher north=Araes south=Simiotel east=Marscog west=Eonsep
Britoid-Hephaescar north=Spholishpo south=Nula-Phantax east=Sonca west=Davta
Perciiter north=Vanthostax south=Piter-Cheaplu east=Terraphi west=Thexe
Privina north=Licdiaori south=Hyphobos-Piterra east=Rysen west=Trapistdus
Mercury-Zarmiaper north=Hecopaph south=Destunelar east=Urathos west=Dossusca
Shporiona-Oxipesry north=Jupiter-Phoonlambdus south=Pago-Theseg east=Potel-Cronqua west=Vianterra
Crondosob north=Rorapia south=Buscal east=Liusralius west=Endor-Marsdissus
Saidone north=Venos south=Omrida east=Pluto-Osimio west=Morcori
Larcentau north=Osolider south=Donecaldo east=Talnoeli west=Piater
Laosoli north=Runigsig south=Pagochro east=Laastos west=Lonsi-Siclas
Reslonsi north=Embo-Karadra south=Zardia east=Prizardia west=Nigmini-Nosdel
Vilethdo north=Domi-Marnibi south=Metneli east=Dusto-Dretaxpro west=Cygzar
Vetra north=Licsegdia south=Scherhec east=Omrida-Tamespus west=Appotel-Vanpi
Sondreanig north=Quara south=Magstag east=Conval west=Simiovan
Neli north=Trapistnis south=Telmia east=Miotau west=Dovnibi
Pluto-Obli north=Vonen south=Saturn east=Dosarva west=Danpes
Cica-Lerada north=Stellera-Delta south=Segriona east=Dustopia-Dige west=Thilan
Pago-Gorio north=Cronben south=Susdy east=Appo-Renethec west=Cygbunig
Resmopi north=Vansi south=Corida-Neptunepul east=Ridani-Prome west=Libri
Arapa north=Tahec south=Osoliron east=Mercury-Neptunecyg west=Lera-Danibi
Branba north=Marida south=Catune east=Cori-Tosqua west=Oxitoid
Phanibi-Varlep north=Telmiaka south=Dracar east=Sicdraben west=Neptunepro
Nigpa north=Jodige south=Telmia-Lilamb east=Busju
Oriseg north=Scherpuscon south=Tiustoidles east=Leonisbus west=Barsonsen
Tauri north=Thiprome south=Magry east=Tunexe west=Epsimio-Brentapha
Stellera north=Deni-Zarrida south=Astosplu east=Aescos west=Respesleo
Endor-Nibiru north=Spholi-Cogarva south=Cellesti-Centau east=Miaresbri west=Appo-Gemagtax
Britoid-Osolirio north=Appo-Tao south=Danchro east=Terra-Senmiaphan west=Mini-Keplarem
Cronmet north=Aespes south=Tunemeg east=Joval west=Nigben
Tunepespus north=Xelime south=Tiusdusto east=Segca west=Resdunecal
Typhoonco north=Quapia south=Barsonnos east=Nisesla west=Brenta-Heinlein
Loxtu north=Stellera-Telmiadis south=Sepdre east=Perciigo west=Phanibi-Terraty
Leonis north=Rubari south=Omri east=Getaxnep west=Donenula
Lera-Kisobli north=Barida-Eonnu south=Lotauri east=Piusvanto west=Lepve
Liccyg north=Rescygrio south=Tuneom east=Zeusjochro west=Desla
Sepzathu north=Cogbrenta south=Caldomi-Denibi east=Xelico west=Reshein
Riona north=Embora-Jupiter south=Tauri-Varhypho east=Saturnsi west=Rora-Xima
Castalpha north=Shporiona-Quaheli south=Cordo east=Licori west=Castal-Nisperi
Bosliclon north=Piterra-Plutopia south=Hephaesni east=Lebjo-Busva west=Ladone
Zathu-Cygdermi north=Yadav south=Donenula east=Rubari west=Cheaheph
Shporiona-Karaso north=Conaph south=Nisdeni east=Domini-Piaoxiep west=Restyphoon
Leonisso north=Lonsi-Boracas south=Phantaxdis east=Achrasai west=Piariona
Golachro north=Ximari south=Benzarret east=Danibi-Embora west=Telmia-Ura
Dranossi north=Miopulkis south=Dyxe east=Stelle-Amdi west=Sigarva
Xeliturn north=Digedov south=Hephaes-Caldo east=Simioqua west=Dunearva
Thuravon north=Netrastel south=Gesaitax east=Thisimio west=Phani-Appotel
Embora north=Solibar south=Leonis-Hephaeslep east=Turnres west=Drelocat
Topiabia north=Epsimio-Lebheinlein south=Ladomi east=Miastel west=Telmia-Ara
Cosmari north=Netaes south=Liusdomi east=Sepdrea west=Dorsai-Nigju
Thipago north=Lethcel south=Curyhein east=Taxnignep west=Cheachronos
Leppricii north=Vesenar south=Omri-Kisarva east=Deidy west=Bual
Phoonnospist north=Cordo-Sonciidei south=Domini-Caldo east=Tula west=Dreamet
Helikup north=Nimbus south=Yanoeli east=Sepbusbus west=Nossig
Miophoondes north=Davret south=Mebar east=Jotuneya west=Vartoid
Senau north=Mari-Cicamo south=Deskaratel east=Zeusmes west=Rydige
Loobli north=Ximari-Stelle south=Phiprile east=Karaosi west=Tedeibi
Orian north=Marneli south=Typhoonza east=Schermet west=Spholi-Piusal
Dermi north=Plutopia-Draphoon south=Mesdus east=Ara-Perciikara west=Miomeg
Thedespo north=Piaci south=Niscygem east=Brenta-Viancal west=Dosdi
Perida north=Nomini-Catzarkep south=Phici east=Thura-Riona west=Turnpistam
Veepsi north=Dosles south=Phooncygnep east=Sondan west=Nettal
Tikeplar north=Rorama south=Kupsic-Terraphan east=Kara-Marstax west=Andomi-Nimbus
Perciithos south=Drephobos east=Leraes west=Lomarya
Karada north=Rida-Stagni south=Castaldo east=Heinleinpha west=Cheacos
Segpriam north=Rida-Curycat south=Boslic-Ura east=Stelle-Liustelmia west=Chronos-Cori
Lugidone north=Arvada south=Cronmorry east=Nomi-Epsi west=Septaqua
Thosne north=Varchea south=Linimbus east=Kupsic-Sonlic west=Cury-Orisusbri
Yadel north=Segom south=Desaura east=Marida-Domi west=Dige-Zarterra
Lasteheph north=Lambdus-Simio south=Liuscica east=Larrora west=Danob
Esla north=Josa south=Cosma-Keplarme east=Doskara west=Piter-Dustopia
Leplibos north=Gephoon south=Phantaxom east=Osi-Nulasep west=Vondredia
Pistya north=Astosbia south=Pago east=Boslic-Phoboslic-Conmar west=Neli-Navepes
Zathu-Kupsic north=Marty south=Lera-Tumarge east=Bual west=Mialeb
Disvianve north=Pustedor south=Larsigval east=Ditemio west=Ciithi
Bulanlas north=Cordomi south=Taurida east=Ronoxi west=Taurida-Lodone
Aurajo north=Topialeo south=Ryriona east=Licdi west=Centauri-Oblikara
Appotel-Talgla north=Sepstagni south=Quakaramio east=Aura-Achra west=Eslacos
Desvian north=Tidre south=Scherarva east=Resarva west=Marsdelta
Phani-Ryo north=Conbia south=Urashpo east=Trapistes west=Epsimio-Epsimio
Endor-Branstagni north=Piacos south=Neptuneori east=Saturn-Reastos west=Leinvussi
Pago-Deltago north=Rora-Typhoonnos south=Dovam east=Phani-Xelieon west=Spholiori
Larry north=Ronshpo south=Retgoper east=Denibi-Croncelles west=Lesti-Lesti
Suscosma north=Ladige south=Marida-Gopro east=Osoli-Zathura west=Lestias
Obli north=Revalles south=Peskaradrea east=Retva west=Dunemes
Solispho north=Ciiphani south=Chronoslo east=Miadrea west=Deio
Pulach north=Hyphobos south=Gelon east=Meglolius west=Simioleth
Heinleinres north=Castalpho east=Centau-Nimbusco west=Cellesti-Nelixi
Lestinis north=Castal south=Quatupul east=Lanty west=Bari-Cogvalles
Nosti north=Brantauri south=Cetivan east=Oxilesti
Telmiabos north=Vadani south=Arari east=Segdrea west=Aldige-Viep
Tauri-Perida north=Deitrapist south=Stelle east=Mopi-Dradavnet west=Priso
Mari-Mari north=Lumini south=Marcel east=Prome-Lamarli west=Mari-Nosles
Trapistder north=Danibi-Telmia south=Oxicheadan east=Metne-Pesvimag west=Prishporio
Karali north=Tiusmagtax south=Lestidor east=Riona-Piaqualo west=Caldomi-Lethvon
Noelidite north=Reoxi south=Gocog east=Cori-Promelan west=Netpia
Typhoonam north=Benzar-Viter south=Miodone east=Cheaciileo west=Nula-Piuspistoxi
Birusi north=Glatiusvian south=Bora-Sigka east=Castalter west=Liusdrea
Britoid-Leracu north=Aldi-Ditexima south=Lera-Endor east=Loxdan west=Caldo-Nomini
Biava north=Amdige-Perida south=Deslarleth east=Laa west=Pulditepul
Dermini-Resan north=Ura-Ciilambdus south=Domini east=Thuracii west=Tiuspotel
Sennoeli north=Larquana south=Noelivan east=Phoongotax west=Omrida-Dialoxaph
Yado north=Epsimio-Pluto south=Lonula east=Benzar-Obli west=Sepnoeli
Xeli-Landan north=Corida south=Perciivar east=Lethob west=Prilo
Cosma-Dysen north=Mescury south=Cogboslic west=Telmiaaes
Vonembo north=Vinula south=Phani-Eonop east=Boslicry west=Karame
Bucon north=Nisdes south=Sigjupi east=Cosmari-Nibi west=Marscog
Centauri north=Viana south=Vehypho east=Potelmia-Noeli west=Retembo
Appo north=Stagnibi-Kara south=Lasbri east=Segcas west=Donetoid-Xarsongi
Yaom north=Rames south=Karatax east=Tutrapist west=Omrida-Bora
Riona-Noeli north=Gedovbo south=Vonra east=Aldige-Cicaval west=Lepchea
Hecmari north=Rapuldei south=Vexe east=Phiosi west=Viantax
Ditetius north=Diaesla south=Gira east=Ximari-Appo west=Rora-Aphrora
Dusto north=Typhoon-Chronos south=Celles east=Dovcogpi west=Carda-Britoid
Deni-Perciiles north=Lepcii south=Thosmeglo east=Noelitos west=Toidlar
Lebleth north=Obli-Neptune south=Sepo east=Dynim west=Pusstelle
Simio north=Heccor south=Lino east=Embora-Dreatigo west=Doneal-Vidia
Deltadia north=Telmia-Cygbrenta south=Phantaxbos east=Eonloxra west=Vallesti-Nosphiap
Canis north=Puloxivi south=Terracyg east=Xarplu west=Toidcyghe
Opconar north=Perciiry south=Cordo-Soli east=Mini-Genetsa west=Ciikara
Cosma-Lethheinlein north=Urapes south=Lambdusto east=Keplarmi west=Piusendor
Shporio-Siclon north=Ceti-Biacheatos south=Glatius east=Marida-Marthi west=Pluto-Catper
Terranos north=Phanibi south=Mini-Omri east=Keplar-Dansic west=Ciijona
Vekep north=Ciiepsi south=Ruhec east=Nimbusbus west=Prika
Ando-Gieon north=Quametne south=Cellesti-Biaamdi east=Oxivian west=Goxarpo
Jupi-Spholi north=Karaca south=Pustius east=Cheali west=Saitelmia
Lethphan north=Tiusleo south=Liusralius east=Kissaivon west=Rorapia
Zarmeper north=Rionaya south=Lango east=Dermi-Tallambdus west=Nomini-Meglovan
Cosma-Disomri north=Piaeonbu south=Birukis east=Lictra west=Doneglatius
Lalic north=Turnprome south=Laastos east=Nibiru-Tuter west=Runigsig
Nelibri north=Danbar south=Suseonlius east=Aphro-Kistunesai west=Arvada-Dunearva
Phoonbren south=Nismetne east=Valles-Vonben west=Boslic-Hephaes
Piusbran north=Donebenzar south=Vonturnlep east=Senbren west=Lethmarlu
Dani north=Caldomi-Eonan south=Reskis east=Ryza west=Lanka
Tiusgi north=Phidei south=Suscor east=Pusbren west=Arapius
Cosma-Deni north=Cono south=Heli-Sendes east=Taurida-Destaxsai west=Branbiatal
Marida-Phimopi north=Phantax south=Cheaxarter east=Barson-Vallesti west=Caldomi-Senachra
Deiplu north=Xeli-Barida south=Tosnim east=Caldo-Nomini west=Opnimbus
Ronsic north=Sonlius south=Vontaxnet east=Stagni-Sepqua west=Noelial
Lera-Dovthura north=Saipri south=Duneca east=Branbia west=Ridani-Ceti
Rora north=Potelmia-Sepdos south=Nisrudor east=Caldo west=Lantaxphi
Achrace north=Marsrora south=Trapist east=Rora-Vallesti west=Giri
Dermini-Meglo north=Arva south=Spholi-Miome east=Cheaterra west=Pesal
Licstagni north=Zeuspotel south=Cordomi-Danibi east=Pusty west=Mercu-Nomini
Sigdrea north=Bumer south=Scherlancos east=Cori-Heliso west=Aura-Kismiacos
Aldige-Cellesti north=Aldige-Jupi south=Ximari-Nula east=Dismag west=Lambdus-Trapist
Davbiaka north=Endorsai south=Mercury-Tiuspago east=Achrave west=Birudel
Miobritoid north=Brander south=Opmercu east=Neli-Araya
Lethob north=Pulaph south=Pisttauri east=Kisdre west=Xeli-Landan
Neptunepro north=Saturnheph south=Dymet east=Phanibi-Varlep west=Cygbar
Mercu north=Nimbuslas south=Lardosdos east=Potel-Larres west=Cicave
Lani north=Xelico south=Cica east=Landesdov west=Caldomi-Denibi
Scherem north=Tenigdav east=Resdes west=Jupiter-Dosve
Tiusci north=Ladei south=Licori east=Opomri west=Shporiona-Quaheli
Piusnula north=Lebjo-Busva south=Nibi east=Delta-Noelipe west=Hephaesni
Eslano north=Stelle-Arvada south=Boslicmeg east=Xima-Pridige west=Pricu
Tiusge north=Genula south=Appotel east=Lantutius west=Nacosma
Achra-Coghephaes north=Mioticu south=Niskep east=Pluto-Deltamo west=Esla-Trapist
Oxiturnchea north=Leonisro south=Resresnoe east=Osoliphi west=Licdi
Susta north=Aespha south=Dreprome west=Morvian
Donenula north=Zathu-Cygdermi south=Boslicdy east=Leonis west=Nibi-Reopry
Dunedani north=Varthu south=Vetu east=Yaglatius west=Lambdus-Viandei
Dyres north=Piadite south=Lancel east=Turnsonlar west=Dyoso
Hypho-Githos north=Xarto south=Oriphan east=Tiamdi west=Donetoid
Toidthibu north=Boraori south=Topiamet east=Ciijona west=Caldomi-Dermini
Magsegro north=Cury-Karate west=Achra-Cordo
Kupsicen north=Dreane south=Typhoontel east=Keplarru west=Miocal
Rycal north=Cardani-Turnmini south=Sepbusbus east=Helivar west=Nimbus
Mesdis north=Ando-Vusvian south=Litunedos east=Kupsicthi west=Leptra
Eslabi north=Stelle-Bora south=Nomi east=Solikis west=Cygmar
Lepmia north=Nimbus-Kispul south=Thicel east=Taap west=Landone
Boslic north=Mercury-Aldige south=Opre east=Domini-Liusliza west=Heinlein-Percii
Neli-Jocelles north=Vianbarson south=Noeli-Cronxima east=Sonphoon west=Zardor
Sonpiter north=Sepmag south=Turnnis east=Opdre-Aphro west=Opappo
Benzarhy north=Metne-Caldo south=Davconkep east=Boslicbus west=Rorate
Nosna north=Memopi south=Lebdosom east=Thexar west=Noeli-Bora
Maram north=Aphro south=Radelta east=Osoli-Riona west=Nelikep
Duneoxi north=Cygte south=Britoidap east=Loo west=Ximari-Cardani
Denibi-Castal north=Dynetva south=Spholi-Thostos east=Nadite west=Cheacaldo
Lictra north=Neli-Marida south=Deni-Lictel east=Omri-Mercu west=Cosma-Disomri
Miocal north=Castalde south=Dorsaitius east=Kupsicen west=Spholijo
Carda north=Curyso south=Glatius-Lestiap east=Osolilamb west=Zarza-Cica
Miokep north=Marsdeni south=Terra-Leonisgi east=Leinloxbri west=Danibi-Orisimio
Meaesmar north=Talsus south=Vuskara east=Diaphan west=Bora-Obli
Buaphro north=Endor-Lanomi south=Domi-Tiussep east=Amdige-Laspes west=Bari
Cronles north=Denibi south=Aesvuscyg east=Valles west=Ronaura
Castal-Lethhein north=Cala south=Sonlethleb east=Liussepop west=Rora-Ronphani
Laphoon north=Piabran south=Lethron east=Stagni-Vanmag west=Britoidseg
Noslan north=Prome south=Sontaxdrea east=Castal-Benzarvon west=Loep
Bari-Kupsic north=Oblisic south=Nomini-Promemes east=Yatauri west=Obli-Dreariona
Heinlein north=Dorsai-Lilantu south=Vanpa east=Oblicron west=Kupsic-Amdige
Uramo north=Biathura south=Giperi east=Tiva west=Plutopia-Marstelle
Zeusron north=Noeli-Denibi south=Heliom east=Lasen west=Doval
Retsus north=Taxdel south=Hephaesju east=Promestag west=Deigooxi
Mardisom north=Eslao south=Lonsi-Leinam east=Segcahec west=Omrida-Aldi
Typhoonsus north=Taxdo south=Diatithu east=Mioda west=Dusto-Yaappo
Dermini-Hecthebren north=Davam south=Vusqua east=Metneli-Britoid west=Nimbus-Godiatu
Tusaipha north=Perida-Cronsaipa south=Eontyphoon east=Aldige-Oxilas west=Danu
Puleon north=Phoboslic-Resappo south=Dislambdus east=Celles-Biru west=Biaando
Perciigi north=Doneresty south=Osolipa east=Osoli-Achra west=Vetal
Prome-Esla north=Ramorca south=Tizeus east=Leonisza west=Aphro-Lanme
Sigliuspe north=Biru-Davcarda south=Deni-Chronos east=Astosmars west=Miodanlar
Brancaan north=Ditecogre south=Varcyg east=Piagla west=Achra-Lusimio
Oppriphoon north=Branlein south=Magscherach east=Lambdus-Viandei west=Sendor
Davxi north=Nigmini-Nosdel south=Birupul east=Zardia west=Hypho-Boslic
Shporio-Ragla north=Meglo south=Disci east=Eonra west=Embora-Mopiter
Osimio north=Typhoon-Benzarro south=Kara east=Markep
Denibi-Rionachea north=Aratius south=Dymagpes east=Metneli-Saira west=Deiobli
Cosmari-Miocastal north=Drephoon south=Nimbus-Navusthi east=Kupsicmor west=Conre
Neptune north=Phitau south=Busterra-Piusdia east=Vallesti-Scherhy west=Davaura-Ronvance
Hephaes north=Simiovan south=Conpia east=Magstag west=Cyghein
Aldi-Valles north=Sailic south=Ronlickis east=Ronnacel west=Nibiru
Pulchea north=Lambdus-Despulres south=Toidcen east=Mechro west=Retni
Curyxi north=Trapist-Leththitu south=Segprome east=Bulicdre west=Ceti-Cygleinvian
Osimio-Busen north=Segta south=Caldomi-Licthe east=Gehephaes west=Xardraaes
Toiddreare north=Typhoon-Caldo south=Tauri-Castal east=Saileinxar west=Tiaphro
Chronostius north=Ridani south=Kismedel east=Barida-Magnos west=Phoboslic-Segpluto
Miatax north=Pianis south=Achra-Raleb east=Appotel-Minibi west=Piason
Biru-Phani north=Metne-Drezarmi south=Amdige east=Topiamer west=Lalarkup
Thelethbo north=Rules south=Zeuspro east=Lambdusto-Brentakara west=Govancyg
Leinvusma north=Rionames south=Biruas east=Hephaes-Veconpi west=Cica-Boslicbar
Sepraas north=Ximari-Donereshein south=Taltoiddra east=Dospro west=Caldomi-Phoboslic
Vallesti north=Zeusdraxe south=Helikara west=Cheapiter
Appotel-Achrakep north=Vineli south=Hecretcyg east=Dissoli west=Mesti
Zathura north=Sepschersi south=Catdunemars east=Pestu west=Nula
Stellera-Cori north=Dypo south=Segsig east=Xelileo west=Miaphani-Scherappo
Stelle-Calera north=Centau-Achra south=Deltata east=Barsonmeg west=Davlera
Limeglo north=Meglo-Astos south=Plutopia-Auralein east=Metneli-Ladunepul west=Vitivian
Sonvonce north=Neptuneep south=Mopiter-Epsi east=Terraan west=Potel-Omrida
Dialon north=Neptunehy south=Potel east=Gevada west=Nosci-Spholive
Soli north=Heinleinmar south=Oxicron east=Rorate-Retap west=Dorsai-Caldo
Cosmari-Domi north=Rondi-Curycii south=Boraci east=Pusbuspus west=Domi-Zathu
Telmiaaes north=Kupsic-Eonra south=Taurida-Liusxar east=Cosma-Dysen west=Nibi-Kara
Davmercu north=Benzar-Eondiapius south=Nayaret east=Marsthura west=Glatiussai
Xarplu north=Eonrida south=Shporio-Viphan east=Deinisda west=Canis
Davcheapus north=Meszeus south=Lerano east=Pluto-Catxima west=Toidbrenta
Britoidlar north=Bumor south=Minibi east=Leonis-Domi west=Yahec
Valles north=Varzar south=Dermini-Chronosach east=Mini-Varmini west=Cronles
Caldo-Domi north=Trapista south=Benzar east=Dusto-Xelioxi west=Stagnibi-Nomi
